id	title	url	bytes
000242	Kingdom Hearts (video game)	https://en.wikipedia.org/wiki/Kingdom_Hearts_(video_game)	35785
000243	Kirby's Dream Land	https://en.wikipedia.org/wiki/Kirby's_Dream_Land	15013
000244	Krakout	https://en.wikipedia.org/wiki/Krakout	780
000245	La Pucelle: Tactics	https://en.wikipedia.org/wiki/La_Pucelle:_Tactics	6746
000246	The Last Express	https://en.wikipedia.org/wiki/The_Last_Express	21401
000247	Legacy of Kain: Soul Reaver	https://en.wikipedia.org/wiki/Legacy_of_Kain:_Soul_Reaver	21830
000248	The Legend of Zelda: Ocarina of Time	https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Ocarina_of_Time	35750
000249	Leisure Suit Larry: Love for Sail!	https://en.wikipedia.org/wiki/Leisure_Suit_Larry:_Love_for_Sail!	8716
000250	Liberation: Captive 2	https://en.wikipedia.org/wiki/Liberation:_Captive_2	2093
000251	Little Big Adventure	https://en.wikipedia.org/wiki/Little_Big_Adventure	12432
000252	Loom (video game)	https://en.wikipedia.org/wiki/Loom_(video_game)	18613
000253	Lost Patrol (video game)	https://en.wikipedia.org/wiki/Lost_Patrol_(video_game)	9462
000254	Luigi's Mansion	https://en.wikipedia.org/wiki/Luigi's_Mansion	18536
000255	M1 Tank Platoon	https://en.wikipedia.org/wiki/M1_Tank_Platoon	4371
000256	The Magic of Scheherazade	https://en.wikipedia.org/wiki/The_Magic_of_Scheherazade	13116
000257	Maniac Mansion	https://en.wikipedia.org/wiki/Maniac_Mansion	30922
000258	Mario Is Missing!	https://en.wikipedia.org/wiki/Mario_Is_Missing!	11557
000259	Master of Orion	https://en.wikipedia.org/wiki/Master_of_Orion	15478
000260	Max Payne (video game)	https://en.wikipedia.org/wiki/Max_Payne_(video_game)	22713
000261	Mega Man 3	https://en.wikipedia.org/wiki/Mega_Man_3	14882
000262	Mega-Lo-Mania	https://en.wikipedia.org/wiki/Mega-Lo-Mania	6492
000263	Metal Gear 2: Solid Snake	https://en.wikipedia.org/wiki/Metal_Gear_2:_Solid_Snake	19062
000264	Metroid Prime	https://en.wikipedia.org/wiki/Metroid_Prime	20732
000265	Microsoft Train Simulator	https://en.wikipedia.org/wiki/Microsoft_Train_Simulator	5544
000266	A Mind Forever Voyaging	https://en.wikipedia.org/wiki/A_Mind_Forever_Voyaging	4004
000267	Mobility (video game)	https://en.wikipedia.org/wiki/Mobility_(video_game)	1883
000268	Monkey Island 2: LeChuck's Revenge	https://en.wikipedia.org/wiki/Monkey_Island_2:_LeChuck's_Revenge	66116
000269	Mortville Manor	https://en.wikipedia.org/wiki/Mortville_Manor	3079
000270	Mr. Do!	https://en.wikipedia.org/wiki/Mr._Do!	7481
000271	Musashi: Samurai Legend	https://en.wikipedia.org/wiki/Musashi:_Samurai_Legend	7470
000272	Myst	https://en.wikipedia.org/wiki/Myst	33402
000273	Nanosaur	https://en.wikipedia.org/wiki/Nanosaur	4342
000274	Neon Genesis Evangelion: Girlfriend of Steel	https://en.wikipedia.org/wiki/Neon_Genesis_Evangelion:_Girlfriend_of_Steel	4096
000275	The Neverhood	https://en.wikipedia.org/wiki/The_Neverhood	13144
000276	Night Trap	https://en.wikipedia.org/wiki/Night_Trap	22280
000277	Nitemare 3D	https://en.wikipedia.org/wiki/Nitemare_3D	2345
000278	Noctis (video game)	https://en.wikipedia.org/wiki/Noctis_(video_game)	7053
000279	Oddballz	https://en.wikipedia.org/wiki/Oddballz	1523
000280	Omega (video game)	https://en.wikipedia.org/wiki/Omega_(video_game)	3694
000281	The Oregon Trail (1971 video game)	https://en.wikipedia.org/wiki/The_Oregon_Trail_(1971_video_game)	13729
000282	Outpost (1994 video game)	https://en.wikipedia.org/wiki/Outpost_(1994_video_game)	2670
000283	Oxyd	https://en.wikipedia.org/wiki/Oxyd	5142
000284	Paper Mario (video game)	https://en.wikipedia.org/wiki/Paper_Mario_(video_game)	15765
000285	Pathways into Darkness	https://en.wikipedia.org/wiki/Pathways_into_Darkness	11180
000286	Pentagram (video game)	https://en.wikipedia.org/wiki/Pentagram_(video_game)	5697
000287	Phantasy Star II	https://en.wikipedia.org/wiki/Phantasy_Star_II	13896
000288	Photopia	https://en.wikipedia.org/wiki/Photopia	1841
000289	Planescape: Torment	https://en.wikipedia.org/wiki/Planescape:_Torment	35385
000290	Pokémon Channel	https://en.wikipedia.org/wiki/Pokémon_Channel	12505
000291	Pole Position	https://en.wikipedia.org/wiki/Pole_Position	12921
000292	The Precursors	https://en.wikipedia.org/wiki/The_Precursors	3105
000293	Prince of Persia 2: The Shadow and the Flame	https://en.wikipedia.org/wiki/Prince_of_Persia_2:_The_Shadow_and_the_Flame	8011
000294	Project I.G.I.	https://en.wikipedia.org/wiki/Project_I.G.I.	4473
000295	Psyvariar 2	https://en.wikipedia.org/wiki/Psyvariar_2	682
000296	Quest for Glory II: Trial by Fire	https://en.wikipedia.org/wiki/Quest_for_Glory_II:_Trial_by_Fire	7390
000297	Radical Dreamers	https://en.wikipedia.org/wiki/Radical_Dreamers	15596
000298	Raptor: Call of the Shadows	https://en.wikipedia.org/wiki/Raptor:_Call_of_the_Shadows	10168
000299	Ratchet & Clank (2002 video game)	https://en.wikipedia.org/wiki/Ratchet_&_Clank_(2002_video_game)	15537
000300	Red Alarm	https://en.wikipedia.org/wiki/Red_Alarm	6320
000301	Rescue on Fractalus!	https://en.wikipedia.org/wiki/Rescue_on_Fractalus!	8832
